Ligand	Receptor	interaction.type	sourcedb	host.organism
B3GALT6	BGN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL2A1	BGN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AGRN	BGN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
BBS10	TNFSF11	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CHST12	BGN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL2A1	MMP13	-	MI:0468(hprd)	-
APBB3	APP	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
SMAD4	FN1	-	MI:0462(bind)	-
SMAD4	FN1	-	MI:0000(bind_translation)	-
GPC6	BGN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PTAFR	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRM4	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FURIN	COL2A1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
UTS2	NMB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
BBS10	TNFSF11	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
GRM2	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
WNT6	WNT10B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
WNT7A	WNT8A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL8	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
COL1A1	MMP13	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCR5	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAS2R7	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNFRSF11A	TNFSF11	-	MI:0468(hprd)	-
MYLK	SORBS1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MAPK3	APP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPSR1	NMB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PXN	ADAM10	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TSPAN15	ADAM10	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
COMP	ADAMTS12	psi-mi:MI:0570(protein cleavage)	MI:1332(bhf-ucl)	-
IKBKE	AMH	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
F2	NMB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
KISS1R	NMB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SCTR	GHRH	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MCHR1	NMB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
USF1	ADAMTS12	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
WNT5A	WNT2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MASP2	C3	psi-mi:MI:0194(cleavage reaction)	MI:0917(matrixdb)	-
SMAD9	PAPPA	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
COMP	ADAMTS12	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
SPTBN2	SCN1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ANK2	SCN1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SNX27	C3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
C5	C3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
C5	C3	-	MI:0468(hprd)	-
DPEP2	ARSK	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAT3	C3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNG2	C3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HCAR1	C3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL20	C3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ARHGEF1	C3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SEC61B	AGER	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PTGDR2	C3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APLN	C3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SPN	SIGLEC1	-	MI:0468(hprd)	-
SH3GL2	IL6	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MSN	IL7R	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
RNASE4	RNASE4	-	MI:0462(bind)	-
AES	HMGB1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TMX1	TCTN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MAP2K1	TCTN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCDC8	SMPDL3B	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EED	C1QB	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
APCS	FN1	-	MI:0468(hprd)	-
ZFPM1	ERP44	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FCN2	C1QB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
THBS1	MMP2	-	MI:0468(hprd)	-
NME1-NME2	NME3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
BCAN	MMP2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GPBAR1	FSHB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UBQLN4	NME3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NME3	NME3	-	MI:0468(hprd)	-
JAK2	IL6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AGTR2	CCK	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HGF	FN1	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
APP	ICAM3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GRHPR	CXADR	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
MPPE1	ICAM4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TACR3	GNRH1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
P2RY2	GNRH1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK1	GNRH1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
COL2A1	CRTAP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RPS3	IL2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
CNBP	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NUP188	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HBG1	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RAB5C	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LDHA	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MYL4	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
KRT10	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EIF3I	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FASN	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LARS	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PCBP1	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PPIA	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
S100B	HMGB1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
KRTAP4-12	KRTAP4-12	-	MI:0468(hprd)	-
LY96	LY86	MI:0915(physical association)	MI:0465(dip)	-
LY96	LY86	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
IRF8	LY86	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
LY96	LY86	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SETD7	A1BG	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FAT3	PDGFB	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FST	BMP5	-	MI:0468(hprd)	-
CCL7	MMP14	-	MI:0468(hprd)	-
LMBR1L	LCN1	-	MI:0468(hprd)	-
NGFR	IL2	-	MI:0468(hprd)	-
PDGFA	PDGFB	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
MDFI	PDGFB	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PDGFA	PDGFB	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PDGFA	PDGFB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL2A1	COL6A5	psi-mi:MI:0914(association)	MI:0467(reactome)	-
COL5A1	PDGFB	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
C1QB	C1S	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CD47	GNB3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EP300	ADIPOQ	psi-mi:MI:0914(association)	MI:0467(reactome)	-
S1PR4	PDYN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NHLRC3	CLPSL1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SIL1	TDGF1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
P3H4	COLQ	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DEFA1	BCHE	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
BLMH	KERA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	S100A14	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CBL	KDR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PIK3R2	FGF16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
OGT	PSG1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
LMBR1L	LCN1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
SPINK4	MINPP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CD74	MIF	-	MI:0000(bind_translation)	-
SUMF1	ARSI	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PCMT1	MIF	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
ARMC8	BMP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDK2	MIF	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FBLN1	TDGF1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
KHSRP	PRDX5	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
NIT2	PRDX5	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
OTUB1	PRDX5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HTR2A	PON2	MI:0915(physical association)	MI:0465(dip)	-
IL16	IL16	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
GRN	HSPG2	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
B3GALT6	HSPG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VCAN	HSPG2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HTR2A	PON2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SDF4	ITGB3BP	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RLN2	LHB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GCG	LHB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HSPG2	GRN	-	MI:0468(hprd)	-
ACADM	ARF1	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
C1orf122	SNX2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
H3F3A	SNX2	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
UNC119	HMGB1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TLR9	HMGB1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
HTT	HMGB1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FN1	TNFAIP6	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
CRELD1	ITGB3BP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ACVR1B	TDGF1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
CD63	TIMP1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
CD63	TIMP1	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
SH3GL2	ADAM9	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
FGB	FGG	-	MI:0000(bind_translation)	-
ACVR1B	TDGF1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CD63	TIMP1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SNX1	SNX2	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
NUP133	ITGB3BP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAOK1	ITGB3BP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CENPT	ITGB3BP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CFH	DMP1	-	MI:0468(hprd)	-
ANOS1	FGFR2	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
RHOBTB2	FGFR2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PAFAH1B1	ITGB3BP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PRLR	PRL	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PRLR	PRL	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
ETHE1	IGSF21	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
TF	TF	-	MI:0462(bind)	-
COL5A1	PCOLCE2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TF	TF	-	MI:0000(bind_translation)	-
SELENBP1	DPP7	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
UNC119	HMGB1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
COPS6	TDGF1	-	MI:0468(hprd)	-
ACVR1C	TDGF1	-	MI:0468(hprd)	-
ACVR1B	TDGF1	-	MI:0468(hprd)	-
P2RY2	KDR	-	MI:0468(hprd)	-
PRSS2	COL10A1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
DLL1	DLL4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
APH1A	DLL4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MMP12	COL10A1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PDGFA	COL2A1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CASP14	PRSS3	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
PTPN1	IFNA21	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IRF3	IFNA21	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ADM	CRH	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CASP7	CTSG	psi-mi:MI:0194(cleavage reaction)	MI:0974(innatedb)	-
HGFAC	SPINT1	-	MI:0468(hprd)	-
UBQLN4	SPINT1	-	MI:0468(hprd)	-
DEFA5	DEFA6	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MICA	GGH	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PRKCI	PDGFD	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
AVPR2	GIP	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PLAT	PDGFD	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PLCB1	NPW	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MTNR1B	NPW	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	NPW	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL19	NPW	psi-mi:MI:0914(association)	MI:0467(reactome)	-
POLA2	FGFR3	-	MI:0468(hprd)	-
PCGF1	TOR3A	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNA11	GNAS	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
LAMTOR1	GNAS	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
CCDC8	GNAS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PFAS	GNAS	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
CDC5L	GNAS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PLXNA1	NRP1	-	MI:0468(hprd)	-
RECK	IFNA4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
VWA1	DEFA6	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TYK2	IFNA4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GPR4	HCRT	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ZFP41	LTBP4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
B3GALNT1	S100A14	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CACNA1A	LTBP4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PCDH17	ZP3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
COL2A1	PCOLCE	-	MI:0468(hprd)	-
HTT	HMGB1	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
TRAF6	MIA2	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
ESR2	AGR3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
COL2A1	PCOLCE	psi-mi:MI:0914(association)	MI:0467(reactome)	-
COL1A1	PCOLCE	psi-mi:MI:0914(association)	MI:0467(reactome)	-
APCS	CST3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL3A1	PCOLCE	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SYNJ2	PLA2G2F	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MTMR6	PLA2G2F	psi-mi:MI:0914(association)	MI:0467(reactome)	-
UBQLN4	IGFBP6	-	MI:0468(hprd)	-
ALB	MIA2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
C1QA	C1QC	-	MI:0468(hprd)	-
AR	KLK2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
PIK3R1	ANGPT1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ASB7	OGN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HTR2A	PON2	-	MI:0468(hprd)	-
HTT	HMGB1	psi-mi:MI:0403(colocalization)	MI:0917(matrixdb)	-
ESR2	AGR3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TMEM79	SFTPC	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
SMIM3	SFTPC	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
ABL1	OGN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TK1	ADAMTS10	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SEC22A	SFTPC	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SMG7	FGFR3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CRK	OGN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FGF5	FGFR3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
B3GNT4	OGN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SLC35B3	OGN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CHI3L1	CHI3L1	-	MI:0462(bind)	-
UBQLN4	IGFBP6	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TGFB1	AGR3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CST6	TGFB1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
AGTR2	KNG1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CSNK2A2	TGM2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
MC3R	POMC	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
F2RL3	UTS2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MEP1A	POMC	-	MI:0468(hprd)	-
CYP2E1	IL4	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
PCDH17	ZP3	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PROK1	UTS2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FGF5	FGFR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVPR2	RLN2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UBE4A	FGFR2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LRRIQ1	FGFR2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCDC120	FGFR2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RPS6KA1	FGFR2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GRM8	UTS2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PDCD6	ANXA7	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
KLB	FGFR3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
NGFR	ANXA7	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EEF1A1	ANXA7	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FAF1	ANXA7	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TPSAB1	HMGB1	psi-mi:MI:0570(protein cleavage)	MI:0974(innatedb)	-
MC3R	POMC	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PDCD6	ANXA7	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PIK3CG	UTS2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
DRD2	POMC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAS2R4	POMC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNB1	POMC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
OPRL1	POMC	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NMS	POMC	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TGFB1	LTBP1	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
ADAMTS10	ANXA7	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
A2M	ANXA7	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTHLH	RLN2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TSHB	RLN2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNB1	UTS2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
UCHL5	TGFB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NR2C2	S100A4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DNAJA3	S100A4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PRSS23	SCGB2A2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MAN2A1	SCGB2A2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
BAG6	S100A4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
LPAR2	UTS2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LPAR3	UTS2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNA11	UTS2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ARHGEF25	UTS2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MMP2	TGFB1	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
COL2A1	TGFB1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SCGB1D2	SCGB2A2	-	MI:0468(hprd)	-
AGER	S100A4	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
SIN3A	EDA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCR1	PF4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MMP7	COL8A1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNAT3	PF4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAS2R30	PF4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL28	PF4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
DRD3	PF4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNB1	PF4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNA13	PF4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
VASP	SCGB2A2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
C9orf139	SEMG2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ZNF664	RETN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PRAG1	PSAP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ACTA2	AFM	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NDRG1	APOA1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
CHRM1	NPS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TRH	NPS	psi-mi:MI:0914(association)	MI:0467(reactome)	-
RXFP2	NPS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
OXTR	NPS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ADRA1A	NPS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LCE2D	EFEMP2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
C5orf24	EFEMP2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
NPSR1	NPFF	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ATP6AP2	ACE	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GRM3	NPFF	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MLNR	NPFF	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SGTB	EFEMP2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
LCE2D	EFEMP2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
SGTA	EFEMP2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
APEX2	EFEMP2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
TCAF1	EFEMP2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
CREB5	EFEMP2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
GGPS1	ADCYAP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CASP2	ADCYAP1	-	MI:0468(hprd)	-
DDX19B	LCN2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
S100A7	S100A7	-	MI:0462(bind)	-
FBXO2	AHSG	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RELA	ANXA1	psi-mi:MI:0915(physical association)	MI:0000(i2d_imex)	-
GRK2	NMB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
